2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14
100,97.99000000000001,100.18,97.83,102.19999999999999,106.4,93.47999999999999,95.02000000000001,95.925,94.45,93.59,97.93,99.72,89.34,88.995,85.92500000000001,87.28,89.19999999999999,94.25,95.6,94.12,89.97,89.77000000000001,96.695,91.28,98.54499999999999,101.515,94.62,89.09,92.315,94.39,97.695,124.255,116.15,106.965,99.435,87.735,84.83,90.845,97.07,102.75999999999999,94.15,87.1,82.21000000000001,81.61,78.61500000000001,85.445,91.725,89.42500000000001,92.065,93.33500000000001,90.425,94.66499999999999,103.31,101.42,96.27,83.465,65.80499999999999,49.235,40.83,28.21,31.195,34.185,30.32,27.91,29.105,30.67,29.464999999999996,23.755000000000003,20.965,24.275,23.744999999999997,23.700000000000003,23.05,26.105,22.09,21.020000000000003,23.28,25.52,24.259999999999998,25.924999999999997,25.935000000000002,22.72,23.23,28.765,25.915,28.119999999999997,27.83,26.805,26.549999999999997,27.240000000000002,34.08,34.754999999999995
100,96.09,101.91,111.94,117.58500000000001,119.075,89.99000000000001,98.25,100.77000000000001,101.285,100.99000000000001,109.11,108.53,82.475,93.82,92.49000000000001,92.275,96.37,105.115,110.69,78.11,93.42,92.715,97.44,97.53999999999999,108.06,113.99000000000001,81.17500000000001,100.31,101.42,106.575,109.05000000000001,125.83,115.545,78.66,92.85,104.82,102.99,108.035,128.35,131.1,104.35499999999999,102.25999999999999,91.05000000000001,102.08500000000001,104.28999999999999,120.475,113.10499999999999,74.815,93.885,96.64500000000001,100.485,105.685,122.50999999999999,117.795,75.65,99.33,99.45500000000001,82.89500000000001,96.75999999999999,101.53,77.53999999999999,45.67,52.56,40.504999999999995,37.585,36.935,14.26,10.825,7.85,9.219999999999999,9.405000000000001,12.89,12.555,13.375,12.035,8.844999999999999,12.98,11.219999999999999,13.785,13.855,14.794999999999998,13.05,10.325,14.544999999999998,16.02,17.73,17.225,15.190000000000001,17.575,11.67,18.725,19.475
100,102.02333333333333,102.22333333333331,104.24333333333333,107.05000000000001,92.07,99.26333333333332,105.06666666666666,108.14666666666666,106.10333333333334,111.56333333333335,109.04,94.07333333333332,84.80333333333333,97.95666666666666,101.59333333333332,101.06666666666666,101.89333333333333,103.39666666666666,89.92333333333333,94.94,96.87666666666667,100.04333333333334,100.10666666666668,102.08333333333333,107.02666666666666,86.42333333333333,97.45666666666666,102.06333333333333,103.45,105.82,115.55333333333333,118.75,100.93,103.77666666666666,105.27,109.42333333333333,111.53333333333335,115.31,124.27666666666669,105.15666666666665,105.31333333333333,109.50333333333333,110.83333333333333,110.40333333333332,116.47666666666667,124.95666666666666,110.49666666666667,103.95666666666666,105.30333333333334,105.02,105.04,113.19333333333333,117.41666666666667,100.16000000000001,92.86,99.25666666666666,102.71999999999998,102.69666666666667,102.13,97.16333333333334,77.94333333333333,77.91666666666667,74.13,71.12333333333333,69.44333333333334,71.21,69.17333333333333,52.89000000000001,52.70333333333334,47.800000000000004,45.35,42.89333333333334,43.97,37.96666666666667,29.7,38.546666666666674,39.06,38.56333333333333,37.25333333333334,39.28666666666666,32.053333333333335,27.023333333333337,38.51,39.02666666666667,39.596666666666664,42.576666666666675,27.959999999999997,29.590000000000003,24.073333333333334,28.426666666666666,40.18333333333334,41.53
100,101.345,104.91499999999999,112.225,120.295,124.135,97.55000000000001,100.65,102.985,104.805,109.39,128.27,127.97999999999999,99.27,105.11,105.9,106.94999999999999,110.83,128.91500000000002,141.51,105.495,107.78,107.365,107.95,107.03,127.245,144.67000000000002,110.3,110.185,113.63499999999999,113.89500000000001,119.74000000000001,146.88,162.13,116.985,119.455,120.47999999999999,121.61500000000001,124.685,142.375,161.7,114.42500000000001,118.56,117.33,112.225,117.995,134.03,132.33499999999998,102.56,107.505,107.255,111.965,116.08500000000001,128.665,128.78,103.66,103.355,98.69,93.405,88.03,77.67,59.815,42.725,34.69,31.28,34.589999999999996,34.335,33.394999999999996,21.685,23.869999999999997,28.57,29.33,28.784999999999997,30.009999999999998,33.730000000000004,34.07,30.075,30.455,33.325,35.405,36.56,35.145,32.32,39.355000000000004,40.47,43.215,44.28,45.25,42.785,37.79,37.269999999999996,38.125,43.305
100,100.44,107.64666666666666,110.80000000000001,123.34333333333332,135.01333333333335,104.97666666666667,104.79,110.53000000000002,114.66333333333334,112.77,125.08333333333333,137.23,110.05666666666667,111.37666666666667,114.11666666666666,118.74333333333333,121.38999999999999,138.14,141.31666666666666,112.79666666666667,114.47333333333331,114.65333333333335,121.53666666666668,123.38,141.10333333333335,153.28,108.26666666666667,122.45333333333333,126.12666666666667,129.23,131.66333333333333,155.39000000000001,171.12666666666667,122.92333333333333,131.8033333333333,138.88,141.24666666666667,141.55,146.41,146.78333333333333,116.33333333333333,133.01666666666665,135.80333333333334,133.95333333333335,133.08666666666667,139.39666666666668,134.41333333333333,108.69333333333333,113.31333333333333,120.41333333333334,126.81666666666668,129.11333333333334,142.93333333333334,158.14999999999998,112.29,114.78666666666668,111.53333333333335,113.61,95.69333333333334,81.38333333333333,61.49333333333334,54.27333333333333,53.660000000000004,49.76666666666667,40.443333333333335,34.36000000000001,31.333333333333332,33.54,35.96,34.336666666666666,35.89333333333333,36.03333333333333,36.28666666666667,37.95,37.85333333333333,27.673333333333336,32.64333333333334,35.35333333333333,36.10333333333333,33.453333333333326,36.486666666666665,41.39666666666667,45.13999999999999,40.21333333333333,45.51333333333334,47.25666666666666,47.57333333333333,50.39333333333334,53.89000000000001,45.79333333333333,37.53666666666667,42.02333333333333
100,102.82,103.31,100.37666666666667,104.96,98.85666666666667,76.65,98.41333333333334,104.22666666666667,102.10333333333334,98.96666666666665,104.75333333333333,98.21666666666665,76.24,98.88,102.86333333333333,101.60666666666667,100.06666666666666,108.33,96.48666666666666,73.35333333333334,100.42999999999999,103.37666666666667,102.82666666666667,103.88999999999999,117.0,109.24666666666667,77.55000000000001,107.04666666666667,106.33666666666666,109.04666666666667,108.62,119.82666666666665,122.88666666666666,94.05333333333333,107.90333333333335,112.96,113.35333333333334,114.94333333333333,130.90666666666667,136.02,112.07,107.28000000000002,97.40666666666668,86.82000000000001,97.09666666666668,105.2,101.20666666666666,71.97000000000001,100.29,104.08999999999999,105.03000000000002,107.0,115.25,109.86333333333333,73.93333333333332,103.10333333333331,106.85666666666667,106.05,100.13666666666666,104.48666666666666,93.77333333333333,61.50666666666666,72.97000000000001,62.52333333333333,53.1,44.64666666666667,40.71,29.686666666666667,21.866666666666664,27.666666666666668,26.91,27.44333333333333,28.936666666666667,32.13666666666666,30.3,23.210000000000004,31.2,32.78,34.26666666666667,34.32666666666666,36.873333333333335,35.410000000000004,26.01,35.24666666666667,36.79333333333333,38.57,42.44,31.74666666666667,40.11666666666667,25.793333333333333,36.28,36.306666666666665
100,102.23,102.17,102.205,116.38,123.33500000000001,102.53,103.03999999999999,99.02,103.94999999999999,107.72999999999999,126.89500000000001,134.16,112.625,105.555,106.695,110.87,109.235,125.595,135.925,111.905,107.59,109.125,104.515,98.69,114.775,120.715,107.525,106.18,103.995,110.57,117.32,146.69,140.21,125.0,114.47,115.91,120.695,120.195,133.785,141.25,118.10499999999999,107.15,110.25999999999999,117.735,107.56,119.27000000000001,121.98,100.605,105.675,110.515,103.13499999999999,103.58,121.77,122.03,94.565,89.89500000000001,87.38499999999999,86.48,84.06,82.11,54.33,38.035,43.175,38.575,37.480000000000004,35.53,38.34,28.42,22.354999999999997,26.02,26.115000000000002,26.905,27.225,27.994999999999997,25.92,24.33,31.11,29.68,27.045,30.43,32.485,26.21,24.42,34.445,37.995000000000005,37.345,38.15,40.465,36.045,32.004999999999995,42.230000000000004,39.209999999999994
100,99.405,99.515,97.0,102.795,105.24000000000001,103.07,100.245,98.785,99.235,91.32,94.7,103.06,99.57,97.44,95.0,96.58,91.61,99.155,106.235,93.985,93.69,93.065,93.35,91.39500000000001,99.53999999999999,105.3,89.905,91.16499999999999,92.88,92.42,95.375,101.395,98.85,90.55,92.07,91.11500000000001,92.265,93.82,97.17500000000001,97.20500000000001,90.85,86.6,86.64500000000001,87.03,77.80000000000001,82.285,86.78,77.88,78.85499999999999,77.61,77.815,76.54499999999999,79.465,82.37,73.65,73.285,71.225,66.1,61.18000000000001,62.27,60.224999999999994,54.900000000000006,54.835,47.845,47.83,46.205,46.97,49.43000000000001,46.685,43.41,40.655,42.405,41.715,42.015,39.56,42.55,41.72,42.565,43.08,41.21,42.79,41.885,42.870000000000005,44.42,39.47,42.635000000000005,39.305,43.075,36.629999999999995,35.865,33.8,35.315
100,103.07666666666667,101.46666666666665,104.94,118.39666666666666,104.89999999999999,83.58333333333333,102.06333333333333,104.07666666666667,106.91000000000001,109.97000000000001,125.53000000000002,115.00666666666666,85.52666666666669,98.91666666666667,103.47333333333334,103.0,107.26333333333332,124.09666666666665,117.78000000000002,85.09666666666666,97.73666666666666,100.33999999999999,101.66000000000001,103.39666666666666,117.54666666666667,117.84333333333332,88.15000000000002,102.15333333333332,105.12666666666667,105.89,112.99000000000001,134.15666666666667,123.69333333333334,103.01333333333334,91.78666666666668,108.02333333333333,110.66000000000001,115.56333333333333,133.34,126.73666666666668,93.82333333333334,101.85333333333334,104.34000000000002,100.97333333333334,102.16333333333334,123.96333333333332,123.65000000000002,92.94,103.5,108.98333333333335,112.23,117.71333333333332,124.96999999999998,120.18,94.03666666666668,102.72333333333334,101.05999999999999,101.46333333333332,96.63,93.98666666666666,84.63666666666667,64.39333333333333,66.60000000000001,57.71666666666667,53.98,51.28333333333333,51.11333333333334,44.34666666666667,35.843333333333334,39.54666666666667,39.593333333333334,39.196666666666665,37.68,42.120000000000005,34.74666666666667,30.77333333333333,35.65,38.34666666666667,38.88,37.67666666666667,39.75666666666667,36.72666666666667,30.77,39.126666666666665,38.78,40.656666666666666,42.27333333333333,35.76333333333333,37.666666666666664,30.24,34.85999999999999,40.586666666666666
100,100.795,102.85,105.10499999999999,116.28,103.78,78.28,101.03,99.895,101.945,105.67,114.965,101.005,79.60499999999999,103.99,100.085,98.75999999999999,103.95,119.46,108.105,81.38,105.55000000000001,106.77,109.96000000000001,111.47,125.775,114.34,88.755,112.47999999999999,109.96000000000001,110.595,117.895,134.03,113.5,88.775,113.88,108.91,109.85499999999999,112.91,124.285,111.075,83.485,104.27000000000001,106.815,105.07499999999999,112.275,128.895,109.045,72.36500000000001,98.62,101.03,102.14,101.82,116.93,100.82,67.18,95.82,106.08500000000001,102.7,99.995,110.015,92.59,51.730000000000004,61.705,49.655,41.295,34.79,33.96,23.884999999999998,16.255,26.64,27.625,27.25,32.125,23.134999999999998,19.845,15.870000000000001,23.64,25.13,25.884999999999998,26.490000000000002,28.345,23.315,18.6,27.810000000000002,29.770000000000003,29.410000000000004,30.485,21.515,22.33,17.04,31.384999999999998,31.065
