country,alpha3code,pop,density,medianage,urbanpop,smokers,lung,gdp2019,healthexp,healthperpop,avgtemp,avghumidity,firstcase
Dominica,DMA,71986,96.0,33.5,74.0,3.7,,593,586,8140.471758,,,3/21/2020
Dominican Republic,DOM,"10,847,910",225.0,28.0,85.0,14.1,11.43,"89,475",873,80.47633139,,,2/29/2020
Ecuador,ECU,"17,643,054",71.0,28.0,63.0,8.65,24.07,"107,914",980,55.54593893,19.26666667,73.25,2/28/2020
Egypt,EGY,"102,334,404",103.0,25.0,43.0,25.1,22.61,"302,256",495,4.837082941999999,21.25,52.08333333,2/13/2020
El Salvador,SLV,"6,486,205",313.0,27.6,73.4,6.7,13.86,"26,871",578,89.11220043,,,3/18/2020
Equatorial Guinea,GNQ,"1,402,985",50.0,22.0,73.0,,41.24,"12,142",790,563.0851363,28.66666667,78.6,3/13/2020
Eritrea,ERI,"3,546,421",35.0,19.2,63.3,,27.14,"2,110",56,15.79056745,,,3/20/2020
Estonia,EST,"1,326,535",31.0,42.0,68.0,33.05,8.8,"31,038","1,887",1422.5029869999998,3.233333333,82.4,2/26/2020
Eswatini,SWZ,"1,160,164",67.0,21.0,30.0,34.1,53.05,"4,657",629,542.1647284,27.45,78.73333333,3/13/2020
Ethiopia,ETH,"114,963,588",115.0,19.0,21.0,4.7,18.56,"91,166",66,0.574094817,22.55,56.41666667,3/12/2020
Denmark,FRO,"48,873",35.0,38.0,88.0,,,,,,,,3/3/2020
Fiji,FJI,"896,445",49.0,27.9,59.1,25.55,15.86,"5,708",331,369.236261,,,3/18/2020
Finland,FIN,"5,540,720",18.0,43.0,86.0,20.85,9.92,"269,654","3,996",721.2059082999999,2.8,81.25,1/28/2020
France,FRA,"65,273,511",119.0,42.0,82.0,27.7,13.15,"2,707,074","4,542",69.58412272,11.26666667,72.95,1/23/2020
France,GUF,"298,682",4.0,25.0,87.0,,25.7,"23,587",99,331.45619760000005,28.28333333,80.08333333,3/6/2020
France,PYF,,,,,,,"5,623",,,,,3/10/2020
France,NCL,,,,,,,"9,894",,,,,3/17/2020
France,BLM,,,,,,,,,,,,2/29/2020
France,MAF,,,,,,,,,,,,2/29/2020
Gabon,GAB,"2,225,734",9.0,23.0,87.0,,26.53,"16,877",481,216.1084838,29.5,77.43333333,3/12/2020
Gambia,GMB,"2,416,668",239.0,18.0,59.0,,29.2,"1,773",114,47.17238777,29.45,47.86666667,3/16/2020
Georgia,GEO,"3,989,167",57.0,38.0,58.0,31.7,23.26,"15,925",718,179.987451,9.983333333,58.98333333,2/25/2020
Germany,DEU,"83,783,942",240.0,46.0,76.0,30.35,20.01,"3,863,344","5,357",63.93826636,8.516666667,74.21666667,1/26/2020
Ghana,GHA,"31,072,940",137.0,22.0,57.0,6.75,21.09,"67,077",249,8.013403302,31.43333333,71.58333333,3/11/2020
Greece,GRC,"10,423,054",81.0,46.0,85.0,42.65,20.62,"214,012","2,204",211.45433959999997,14.93333333,66.36666667,2/25/2020
Grenada,GRD,"112,523",331.0,32.0,35.5,,21.74,"1,238",677,6016.5477280000005,-9.883333333,73.61666667,3/21/2020
Denmark,GRL,"56,770",0.0,34.0,87.0,,,"2,441",,877.5591734999999,,,3/15/2020
France,GLP,"400,124",237.0,44.0,96.0,,,8934,,69.58412272,27.4,74.6,3/12/2020
US,GUM,"168,775",313.0,31.0,95.0,,,"35,562",225,1333.135832,29.53333333,48.9,
Guatemala,GTM,"17,915,568",167.0,23.0,52.0,,21.2,"81,318",444,24.78291506,27.13333333,72.95,3/12/2020
Guernsey,GGY,"70,000",965.0,44.0,86.0,,,"13,368",,69.58412272,9.983333333,78.61666667,
Guinea,GIN,"13,132,795",53.0,18.0,39.0,,25.37,"4,121",57,4.34027943,28.66666667,78.6,3/12/2020
Guinea-Bissau,GNB,"1,968,001",70.0,18.8,44.9,,26.93,"1,458",100,50.81298231,,,3/24/2020
Guyana,GUY,"786,552",4.0,27.0,27.0,,25.7,"4,725",336,427.18091110000006,31.0,77.88333333,3/11/2020
Haiti,HTI,"11,402,528",414.0,24.0,56.9,12.3,25.53,"8,819",120,10.52398205,,,3/19/2020
Holy See,VAT,801,2003.0,40.0,100.0,,,"21,198",,55.42340054,,,3/5/2020
